id,project_reference,identifier,version,created_on,category_id,active,uuid
100,1403,19213,1,2019-03-23,3,false,9af94f48-2a17-4312-aaa8-d4d273464e50
101,1070,19213,2,2019-03-23,3,false,a50a2677-b754-4096-9fd2-47f6e1c53d6e
102,1789,19213,3,2019-03-23,2,false,070d8732-457f-4548-b3a0-6c3970ca781e
103,1701,19213,4,2019-03-23,4,false,aca548f3-9a24-48a0-87af-f07127a1d533
104,1960,19213,5,2019-03-23,4,true,a125ffd3-c553-4682-9470-c49378a1d831
105,1399,14516,1,2019-03-23,1,false,a6bdd5cb-c2d0-4667-84fd-7c8f86997e6b
106,1034,14516,2,2019-03-23,3,false,81ed7065-bb84-4d63-8607-78322a7c046b
107,1070,14516,3,2019-03-23,4,false,286a6818-b195-40d9-a339-6150253eb5f9
108,1902,14516,4,2019-03-23,4,false,03a6fba5-b4a4-446f-a01b-76846e7e8ad0
109,1954,14516,5,2019-03-23,3,false,859e9d67-6f8e-41a0-bfca-836780d69e90
110,1755,14516,6,2019-03-23,4,false,b707f103-96e2-4ccd-9f24-027beb926d4c
111,1317,14516,7,2019-03-23,4,false,ab12d9c2-b27b-4394-b693-d12a4d9af6fc
112,1701,14516,8,2019-03-23,1,false,5952bb33-70ca-4b2e-88b6-4f2e066c8c15
113,1039,14516,9,2019-03-23,1,true,5540bcd1-db69-4ffc-aa82-d6791049deec
114,1434,14516,10,2019-03-23,3,false,91bacccf-9d1d-4cb7-847b-c24ae0b72a6e
115,1399,18167,1,2019-03-23,1,false,70cc0423-2f15-4b37-81a1-16e14b1cc7a6
116,1796,18167,2,2019-03-23,4,false,a7bfb21d-e0ad-4dbd-ab89-285fdc84ccd1
117,1596,18167,3,2019-03-23,1,false,e034314d-2684-4b12-9dc5-b0d2fa158a3f
118,1796,18167,4,2019-03-23,1,false,598a900f-ca72-46d2-a520-f35841cad544
119,1434,18167,5,2019-03-23,3,false,469a634e-1973-440e-9177-4cacbfa05059
120,1809,18167,6,2019-03-23,4,false,4ca5d504-af07-4cc7-8dde-92560874eb39
121,1596,18167,7,2019-03-23,1,false,dcfca136-a07e-4eb1-962d-ad4766beca0b
122,1902,18167,8,2019-03-23,1,false,a55f0f6a-6c9d-4c27-bf7b-4e55f65f5e36
123,1960,18167,9,2019-03-23,2,true,6a6d2715-22ac-4490-85ef-4835db17243d
124,1596,18167,10,2019-03-23,4,false,8fce279e-20ed-48af-96bc-6fce709695a7
125,1250,13413,1,2019-03-23,1,false,5fd3231b-0c25-4455-9723-6d6aa86fe1e5
126,1463,13413,2,2019-03-23,4,false,2cccdb5a-e059-43a6-a813-f2ee39202768
127,1070,13413,3,2019-03-23,3,false,155df44f-28b3-44cb-92d1-65d5363d9082
128,1859,13413,4,2019-03-23,2,false,5d016079-0041-4547-8f9a-cf7573880ea5
129,1789,13413,5,2019-03-23,1,false,3a489028-f1f6-4b84-b6d0-723d44ac8988
130,1463,13413,6,2019-03-23,1,false,9f0f0845-6cb1-4809-8c35-06eba72a1fe4
131,1755,13413,7,2019-03-23,1,false,b451dd3a-c415-45bc-ab87-14632b4584ca
132,1434,13413,8,2019-03-23,3,false,1ea1be84-8406-4c34-8b0f-9752d7ea7fae
133,1789,13413,9,2019-03-23,3,true,ef8058b3-14e5-4f1b-9d1f-fa2cc339d9e7
134,1128,13413,10,2019-03-23,4,false,5d752ed6-a198-463c-9b8d-a743688c699b
135,1317,18690,1,2019-03-23,1,false,a12b761e-5254-42d8-a78e-3679d017dc10
136,1250,18690,2,2019-03-23,2,false,4ceddf58-d9ef-4a82-9413-4a6db3e12c8c
137,1789,18690,3,2019-03-23,4,false,1bbdcafc-e41d-4787-b57a-83790f33ff3d
138,1034,18690,4,2019-03-23,4,false,11707ee6-d5bb-4d37-92c8-fe39d99d0b0d
139,1034,18690,5,2019-03-23,2,false,3bf0a613-8428-4080-b62e-70e4af676d21
140,1250,18690,6,2019-03-23,1,false,9d7d9bc0-7b68-4a50-9a4c-5f7337ace70f
141,1859,18690,7,2019-03-23,1,true,db92562c-1e19-473c-9195-07f75afb91d8
142,1596,18856,1,2019-03-23,1,false,64d22718-94c3-431c-840f-14b53073e977
143,1927,18856,2,2019-03-23,1,false,fc107d78-44af-4cd4-a977-aa02e80778a2
144,1596,18856,3,2019-03-30,2,false,5c888ce0-6697-42f9-97a8-ecda3cb26c95
145,1859,18856,4,2019-03-30,1,false,be20c65f-18ab-44c7-95fe-4d0e5fca9445
146,1690,18856,5,2019-03-30,1,false,0d9fcaca-8d26-4e3b-a4ae-790fb538b37e
147,1667,18856,6,2019-03-30,2,false,4dc63bd4-2016-4d43-85c7-49ef594c516a
148,1859,18856,7,2019-03-30,2,true,e50077b5-0df7-4915-b6fd-9d8926b07b02
149,1034,16270,1,2019-03-30,1,false,e90cbeb2-b304-46db-92f8-d8a29a424066
150,1317,16270,2,2019-03-30,2,false,5fe189fd-f94d-46f1-a963-6bef21d44243
151,1434,16270,3,2019-03-30,1,false,6acee5e5-fd38-40de-8d56-5773e696b853
152,1034,16270,4,2019-03-30,2,false,0694d8b1-569d-48f8-8cee-bf43f0bdaab3
153,1434,16270,5,2019-03-30,2,false,90f69620-aae5-46ff-8127-54f64e2bbc6c
154,1954,16270,6,2019-03-30,1,false,dfcf01fb-a5ef-4343-be43-4285d41af63f
155,1070,16270,7,2019-03-30,4,false,dd6f171d-df8a-4260-be6f-3909a83db455
156,1070,16270,8,2019-03-30,4,true,a24ff93c-efb8-4906-be0e-046cc9dc351b
157,1317,10519,1,2019-03-30,1,false,24947ec1-475b-4704-aef8-ac7ac7c93dcc
158,1809,10519,2,2019-03-30,4,false,b002817d-6967-4e10-8f1b-e6d38d014a54
159,1954,10519,3,2019-03-30,2,false,c18c1b49-4e51-4994-9ad3-7708b486ebc3
160,1755,10519,4,2019-03-30,1,false,39366089-b5d7-4aa3-a3ee-f8a5e47cc721
161,1674,10519,5,2019-03-30,1,true,87e32c83-5cfc-4b23-878b-b096773c6031
162,1755,14196,1,2019-03-30,2,false,0c2d620b-424e-4749-9609-10d1656aa22e
163,1463,14196,2,2019-03-30,4,false,95816dd7-a9ba-45cc-bf6c-42eb287f1e96
164,1927,14196,3,2019-03-30,2,false,75aedacc-fb06-481c-92ad-21c103317f0c
165,1796,14196,4,2019-03-30,1,false,6baf921c-2e08-41c7-8c54-efbae919353f
166,1796,14196,5,2019-03-30,1,false,6be9bc53-4ef2-4db1-a9c7-126641d15de7
167,1295,14196,6,2019-03-30,4,false,e3f0a791-4a5d-4807-8d0b-89301f5c74c0
168,1960,14196,7,2019-03-30,2,false,a97999ec-71db-4531-b380-ee91559b9856
169,1927,14196,8,2019-03-30,4,true,554410c6-22e0-4d88-a62c-bfa7bdd237c2
170,1250,13617,1,2019-03-30,3,false,426457c6-ebdc-4bf7-a800-0c03122e2a05
171,1954,13617,2,2019-03-30,1,false,cbc26fd4-8881-43e9-aa07-3dd492be562f
172,1789,13617,3,2019-03-30,4,false,7e6d0555-4545-4f72-b73d-467757fe31cd
173,1859,13617,4,2019-03-30,1,false,ed57fd03-80ae-41ed-9a1f-ce6af4ef9d59
174,1434,13617,5,2019-03-30,4,false,abe3ea81-a168-445c-906d-07a4fba9248f
175,1128,13617,6,2019-03-30,1,false,bf516d04-e569-4f71-aa19-6bdc8cf8dfa8
176,1034,13617,7,2019-03-30,3,false,f2e19563-b333-4ff5-9e1c-4dcf48efa445
177,1399,13617,8,2019-03-30,4,false,a0048eff-a5d8-43cf-962e-670e3c005452
178,1902,13617,9,2019-03-30,4,true,f082afa3-1994-461a-9feb-b4e10f8ff80e
179,1954,11703,1,2019-03-30,4,false,c3fddc13-a9ff-48ab-8196-73f8c97f7f2a
180,1399,11703,2,2019-03-30,4,false,527e71a2-4bcc-4ddd-9c45-64db893ce0be
181,1434,11703,3,2019-03-30,4,false,c20d0f08-bf49-4192-b0a2-27f07f73f1eb
182,1701,11703,4,2019-03-30,1,false,6df26450-473c-48eb-80eb-8fcd165f7a39
183,1701,11703,5,2019-03-30,4,true,ea23719b-0229-4213-9d9c-cfb2b0b48f64
184,1927,10514,1,2019-03-30,3,false,0ad7a569-36cb-4575-bbba-1042385d30a0
185,1399,10514,2,2019-03-30,1,false,771fcded-0e74-49ac-8636-c752201e410f
186,1927,10514,3,2019-03-30,4,false,c628ae1e-cd6b-4657-b2ed-0d7f3c4c20f7
187,1809,10514,4,2019-03-30,2,false,993d2d1b-5dd3-460b-9bbb-b5192fd9b659
188,1039,10514,5,2019-03-30,2,false,d7a8711b-3a26-40fa-b8a5-724019e04a67
189,1859,10514,6,2019-03-30,2,false,c016c494-e8d4-489b-b696-7bd824a21f44
190,1463,10514,7,2019-03-30,2,true,dd55492c-4e7c-4d23-92fd-dc3e3150db95
191,1039,16650,1,2019-03-30,3,false,04f8a811-8217-4dc2-ab10-4155f2f4d940
192,1034,16650,2,2019-03-30,4,false,b1eeffef-f047-45ef-bf1a-83f281becff9
193,1690,16650,3,2019-03-30,1,true,c3f4cfc4-f46e-4d8a-924b-6f41aa19929b
194,1034,12329,1,2019-03-30,1,false,d4e00639-0d09-4a3c-8bf6-602b0103e2bf
195,1463,12329,2,2019-03-30,2,false,b33694fa-60f1-4848-95ca-caa2a39fc414
196,1954,12329,3,2019-03-30,2,false,df5e15b5-bcfa-4c58-a638-dbc6a116d23f
197,1690,12329,4,2019-03-30,1,false,57823b95-ab62-4889-988a-a9c462b1bb84
198,1701,12329,5,2019-03-30,3,false,f617220f-1cf7-482d-874e-58f43444cd3d
199,1701,12329,6,2019-03-30,2,false,b619cc4f-a3ab-4e5c-955d-c019a95baeb6
200,1674,12329,7,2019-03-30,1,false,6fe607db-2a98-43a8-94c7-0537bdd76706
201,1859,12329,8,2019-03-30,4,false,698a9171-e40f-4391-a4a8-9bbc2c216f4b
202,1674,12329,9,2019-03-30,3,true,b484bba1-4c51-4995-baab-49302682fa7d
203,1434,19357,1,2019-03-30,1,false,8f77141c-c5e4-40e0-9469-c1273bcb545d
204,1690,19357,2,2019-03-30,2,false,64c27583-80a7-4a00-bc71-48808696f466
205,1250,19357,3,2019-03-30,1,false,51ee075c-69ab-4843-b478-8c65f1d3a87c
206,1399,19357,4,2019-03-30,4,true,459bdcc3-3a2e-4e3f-a5a3-159e2ccd6e74
207,1796,10472,1,2019-03-30,4,false,d80180bd-3322-40bd-b7bc-c3c1b55b8cc7
208,1755,10472,2,2019-03-30,3,false,6162c2ea-c77c-40a7-bde1-add582f4b452
209,1674,10472,3,2019-03-30,1,false,f2fae14a-2d5f-4c25-9d68-9288f6818d68
210,1070,10472,4,2019-03-30,1,false,fd148e1f-b763-4801-9f75-19895c1259a1
211,1789,10472,5,2019-03-30,2,false,dc198619-7931-4b64-8078-723f3bf81466
212,1796,10472,6,2019-03-30,2,false,4ea6ab7c-be59-4a79-ae86-eca50df97454
213,1399,10472,7,2019-03-30,3,false,d6962033-9478-4dc5-a5cb-3148168785f7
214,1690,10472,8,2019-03-30,2,true,5b08a18f-7dce-447d-9271-9d158883e4c5
215,1902,12809,1,2019-03-30,2,false,a3f3662c-3bf4-4d88-bb98-d7ad77003f36
216,1039,12809,2,2019-03-30,1,false,b6615e68-7918-4807-a7a6-8b8c277ed032
217,1039,12809,3,2019-03-30,3,false,f0caafe0-365a-45e1-8f06-ce7d1141c5b3
218,1674,12809,4,2019-03-30,4,false,a334f133-b15c-43c0-a12e-b45319e6afa4
219,1859,12809,5,2019-03-30,4,false,f5866754-be07-44f8-a948-b2f3a1aeb1b8
220,1295,12809,6,2019-03-30,3,false,86624053-fc66-4898-a71f-56bc9ccafe1b
221,1399,12809,7,2019-03-30,3,false,db4ffd41-7b42-4533-8d40-b1c688f12c1d
222,1809,12809,8,2019-03-30,1,false,d60f0044-393d-48e1-800f-e31dddb88ead
223,1039,12809,9,2019-03-30,4,true,702db73b-ccc0-4acb-9364-0b555e8aed1e
224,1809,12809,10,2019-03-30,1,false,f0cdb98b-ea97-4022-8a38-23944828a51a
225,1902,16259,1,2019-03-30,4,false,777ec5d1-ac0e-45b2-a7f0-4b2e2e1ef577
226,1317,16259,2,2019-03-30,3,false,dabb7dd6-459d-4e2f-bf64-f04ce8225f5f
227,1128,16259,3,2019-03-30,4,false,34e65489-89eb-4f98-8b0d-3b5b67ec4c9c
228,1789,16259,4,2019-03-30,2,false,88d4a873-d2e7-4005-a0e5-34aef7295172
229,1960,16259,5,2019-03-30,3,true,ba91a98a-9581-4d9e-a78e-853c1ecb3265
230,1755,17246,1,2019-03-30,1,false,388dae76-9d4c-465b-8c4b-14790e799fdd
231,1902,17246,2,2019-03-30,1,false,c2452bd4-c63f-4bcc-9585-314d32f01868
232,1399,17246,3,2019-03-30,4,false,546c9f79-2f38-47b0-a8a0-9343ca946454
233,1039,17246,4,2019-03-30,3,false,07049296-0e8e-4813-a71f-8cf77f40db87
234,1250,17246,5,2019-03-30,1,false,d26962c6-d9e8-46f9-8f68-6bf213c43c38
235,1128,17246,6,2019-03-30,3,false,018ea764-cdec-494f-9f96-b4ead41a3325
236,1960,17246,7,2019-03-30,3,true,276e6d91-36f0-4209-986f-026142bcf831
237,1317,18634,1,2019-03-30,1,false,56afb55b-79ed-4522-b33c-669713666b99
238,1755,18634,2,2019-03-30,4,false,88e6d81a-43d7-4ba9-b6b0-0cc8921d3515
239,1674,18634,3,2019-03-30,3,false,76e2daae-392b-457f-87e8-d155f01bc231
240,1789,18634,4,2019-03-30,2,false,f019ef59-be9f-40e1-926a-66d718df127b
241,1701,18634,5,2019-03-30,4,false,9dbb0b67-5197-46d0-aa44-f770814649ac
242,1690,18634,6,2019-03-30,2,false,90f7e150-da63-4168-9622-46d84f63a55c
243,1927,18634,7,2019-03-30,4,false,e40004db-7224-468b-b0a6-2035739d52c7
244,1463,18634,8,2019-03-30,2,false,dba7df2b-76e9-4c2c-83a0-ea3a6436af11
245,1399,18634,9,2019-03-30,1,true,babb88c4-2060-4872-b488-92f5a55d7021
246,1960,18634,10,2019-03-30,4,false,e93391e1-0121-47ac-ace6-964b83ad32e7
247,1674,19775,1,2019-03-30,2,false,7848c00b-ba3f-459f-953e-51b956cf07ab
248,1039,19775,2,2019-03-30,1,false,192a99db-6de8-4e6b-9b9e-518b17f55e7b
249,1859,19775,3,2019-03-30,3,false,a54c7ec9-7e22-487d-96de-0f8dfacdb513
250,1039,19775,4,2019-03-30,1,false,f476274a-1ba2-485f-bfa3-d8e4066b56a2
251,1434,19775,5,2019-03-30,4,false,4623c41a-9a7e-4655-a01c-c3e99bb4b1a3
252,1596,19775,6,2019-03-30,2,false,ffdfaa41-9bc8-4a45-a236-392618f69e8a
253,1295,19775,7,2019-03-30,2,false,dc32545a-929b-4d39-abc0-623b58d89e71
254,1039,19775,8,2019-03-30,4,false,b73ed009-6070-4155-9007-8fbf2e2bb811
255,1039,19775,9,2019-03-30,1,true,cceadb1b-8867-4eb5-9680-9f25df9a7994
256,1596,11924,1,2019-03-30,3,false,a6a6a898-33e3-421b-98a9-8eef1db115cc
257,1463,11924,2,2019-03-30,3,false,8e2a1962-a7b8-4287-bde1-9d507aa2b421
258,1796,11924,3,2019-03-30,4,true,2e0f4579-57d7-473d-aaf9-8f02fb8478e4
259,1596,17783,1,2019-03-30,2,false,a380193a-869f-4d37-8ed4-d9f88075b135
260,1789,17783,2,2019-03-30,2,false,c191d392-5e4b-42e3-9fc5-db3b068c7e22
261,1039,17783,3,2019-03-30,1,false,9b8a2a81-ebc1-473a-a8b0-ff2b78723dc5
262,1295,17783,4,2019-03-30,1,false,3c6f3c2a-d4dc-4926-b8e5-5a0b0681b640
263,1295,17783,5,2019-03-30,2,false,ccee984b-ed95-44b8-be50-b440da7b55eb
264,1690,17783,6,2019-03-30,2,true,260c64aa-0c73-402a-8a89-cd0bf9ef64b0
265,1902,18824,1,2019-03-30,3,false,efbb9424-57a7-4ea9-b694-2a11bf164136
266,1250,18824,2,2019-03-30,3,false,23584fef-c7b0-439f-842e-a725adaff723
267,1902,18824,3,2019-03-30,2,false,57f38f4d-dec1-4b6b-bfe5-1110a34733bf
268,1859,18824,4,2019-03-30,3,true,73ab764d-3701-4c25-ba9a-d9d8f3bd29c8
269,1789,10892,1,2019-03-30,2,false,94185f71-aa2e-47be-b5f6-da2906aca4a8
270,1039,10892,2,2019-03-30,4,false,8b7baedf-6293-478c-b20e-e5be667337db
271,1789,10892,3,2019-03-30,3,false,eeb1bc86-f483-4abd-9059-7334ec63ea0a
272,1295,10892,4,2019-03-30,4,false,1b2fbbc2-82f5-4185-a593-0f6ae676608b
273,1399,10892,5,2019-03-30,3,false,0feec14f-ec6e-40e9-978a-04917334ff69
274,1667,10892,6,2019-03-30,4,false,62444bc3-18b7-4304-bcd2-983f594c8040
275,1859,10892,7,2019-03-30,4,false,f752009c-3d35-4085-ba74-d0b71e5c3986
276,1403,10892,8,2019-03-30,2,false,2934a31e-a750-49e6-9239-9a6167dc2d3e
277,1295,10892,9,2019-03-30,2,true,fd987ce3-a958-40b8-a448-13abfda42b41
278,1250,11070,1,2019-03-30,4,false,9f315af2-f499-4a8f-93e5-830913a75194
279,1596,11070,2,2019-03-30,1,false,f44b68a9-19a1-4d21-ad83-6ae3675ec076
280,1667,11070,3,2019-03-30,4,false,a27fa12c-f83f-48b7-89d0-bf4ba868f5a2
281,1789,11070,4,2019-03-30,3,true,69b4be1d-6129-4172-958d-71f0be43f154
282,1902,17550,1,2019-03-30,2,false,d56c4eda-d217-4260-bd4b-ff3376513a54
283,1128,17550,2,2019-03-30,2,false,fe602eda-2c8c-4ae6-ae54-612ff2716038
284,1927,17550,3,2019-03-30,1,false,87785534-4b95-4183-b5cf-6761c2c0bdb0
285,1789,17550,4,2019-03-30,4,false,b2a89281-c503-407e-a31e-e981526e9548
286,1690,17550,5,2019-03-30,1,true,b9a2f072-6521-428e-8fe0-121adeb715f5
287,1960,19543,1,2019-03-30,2,false,9910186e-0f83-4217-afda-2a680ce257af
288,1250,19543,2,2019-03-30,1,false,dd586a70-2c8a-4e77-9bb4-08ef02ec92c4
289,1859,19543,3,2019-03-30,3,false,528654dd-9083-4647-ac31-9575bed2ffce
290,1434,19543,4,2019-03-30,3,false,967cd507-3f98-4960-b272-aeff6176d6d4
291,1434,19543,5,2019-03-30,3,false,c7c3c2c7-4406-404a-8f57-a461f2d6b957
